location_id,population_served,sample_date,baseline_rate
California,100000,2021-10-02,3.8
California,100000,2021-10-09,0.1
California,100000,2021-10-09,4.0
California,100000,2021-10-09,4.1
California,100000,2021-10-09,0.0
California,100000,2021-10-16,0.2
California,100000,2021-10-16,3.0
California,100000,2021-10-16,3.3000000000000003
California,100000,2021-10-16,0.1
California,100000,2021-10-23,0.4
California,100000,2021-10-23,3.2
California,100000,2021-10-23,3.6
California,100000,2021-10-23,0.0
California,100000,2021-10-30,0.4
California,100000,2021-10-30,3.0
California,100000,2021-10-30,3.4
California,100000,2021-10-30,0.0
California,100000,2021-11-06,0.2
California,100000,2021-11-06,2.0
California,100000,2021-11-06,2.2
California,100000,2021-11-06,0.0
California,100000,2021-11-13,0.6
California,100000,2021-11-13,1.9
California,100000,2021-11-13,2.5
California,100000,2021-11-13,0.0
California,100000,2021-11-20,0.5
California,100000,2021-11-20,1.7
California,100000,2021-11-20,2.2
California,100000,2021-11-20,0.0
California,100000,2021-11-27,0.7
California,100000,2021-11-27,2.5
California,100000,2021-11-27,3.3
California,100000,2021-11-27,0.1
California,100000,2021-12-04,1.2
California,100000,2021-12-04,2.3
California,100000,2021-12-04,3.5999999999999996
California,100000,2021-12-04,0.1
California,100000,2021-12-11,1.1
California,100000,2021-12-11,3.3
California,100000,2021-12-11,4.4
California,100000,2021-12-11,0.0
California,100000,2021-12-18,1.5
California,100000,2021-12-18,3.2
California,100000,2021-12-18,4.7
California,100000,2021-12-18,0.0
California,100000,2021-12-25,1.4
California,100000,2021-12-25,5.1
California,100000,2021-12-25,6.6
California,100000,2021-12-25,0.1
California,100000,2022-01-01,1.6
California,100000,2022-01-01,13.0
California,100000,2022-01-01,14.7
California,100000,2022-01-01,0.1
California,100000,2022-01-08,1.6
California,100000,2022-01-08,23.0
California,100000,2022-01-08,24.700000000000003
California,100000,2022-01-08,0.1
California,100000,2022-01-15,1.1
California,100000,2022-01-15,29.8
California,100000,2022-01-15,31.000000000000004
California,100000,2022-01-15,0.1
California,100000,2022-01-22,0.7
California,100000,2022-01-22,29.9
California,100000,2022-01-22,30.6
California,100000,2022-01-22,0.0
California,100000,2022-01-29,0.3
California,100000,2022-01-29,23.8
California,100000,2022-01-29,24.1
California,100000,2022-01-29,0.0
California,100000,2022-02-05,0.3
California,100000,2022-02-05,17.8
California,100000,2022-02-05,18.1
California,100000,2022-02-05,0.0
California,100000,2022-02-12,0.2
California,100000,2022-02-12,13.1
California,100000,2022-02-12,13.3
California,100000,2022-02-12,0.0
California,100000,2022-02-19,0.3
California,100000,2022-02-19,8.2
California,100000,2022-02-19,8.5
California,100000,2022-02-19,0.0
California,100000,2022-02-26,0.1
California,100000,2022-02-26,5.7
California,100000,2022-02-26,5.8999999999999995
California,100000,2022-02-26,0.1
California,100000,2022-03-05,0.2
California,100000,2022-03-05,4.2
California,100000,2022-03-05,4.5
California,100000,2022-03-05,0.1
California,100000,2022-03-12,0.2
California,100000,2022-03-12,2.9
California,100000,2022-03-12,3.2
California,100000,2022-03-12,0.1
California,100000,2022-03-19,0.1
California,100000,2022-03-19,2.8
California,100000,2022-03-19,3.0
California,100000,2022-03-19,0.1
California,100000,2022-03-26,0.2
California,100000,2022-03-26,2.3
California,100000,2022-03-26,2.6
California,100000,2022-03-26,0.1
California,100000,2022-04-02,0.1
California,100000,2022-04-02,1.4
California,100000,2022-04-02,1.6
California,100000,2022-04-02,0.1
California,100000,2022-04-09,0.2
